('neg', 0.0):('neu', 0.408):('pos', 0.592):('compound', 0.4404)
('neg', 0.0):('neu', 0.597):('pos', 0.403):('compound', 0.4019)
('neg', 0.383):('neu', 0.617):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.508):('pos', 0.492):('compound', 0.4404)
('neg', 0.0):('neu', 0.755):('pos', 0.245):('compound', 0.3804)
('neg', 0.0):('neu', 0.465):('pos', 0.535):('compound', 0.3182)
('neg', 0.2):('neu', 0.8):('pos', 0.0):('compound', -0.25)
('neg', 0.211):('neu', 0.789):('pos', 0.0):('compound', -0.4939)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.734):('pos', 0.266):('compound', 0.4404)
('neg', 0.0):('neu', 0.514):('pos', 0.486):('compound', 0.8176)
('neg', 0.0):('neu', 0.5):('pos', 0.5):('compound', 0.4588)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.0):('neu', 0.773):('pos', 0.227):('compound', 0.6478)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.848):('neu', 0.152):('pos', 0.0):('compound', -0.6808)
('neg', 0.176):('neu', 0.634):('pos', 0.19):('compound', 0.0516)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.118):('neu', 0.531):('pos', 0.351):('compound', 0.6908)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.462):('pos', 0.538):('compound', 0.5423)
('neg', 0.0):('neu', 0.839):('pos', 0.161):('compound', 0.3612)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.794):('pos', 0.206):('compound', 0.3804)
('neg', 0.0):('neu', 0.739):('pos', 0.261):('compound', 0.4902)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.32):('neu', 0.533):('pos', 0.148):('compound', -0.4404)
('neg', 0.0):('neu', 0.867):('pos', 0.133):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.258):('neu', 0.38):('pos', 0.361):('compound', 0.2057)
('neg', 0.0):('neu', 0.688):('pos', 0.312):('compound', 0.6124)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.284):('neu', 0.716):('pos', 0.0):('compound', -0.4173)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.5267)
